IRI 	 Label 	 Definition
http://snomed.info/id/111293003	Venous Thrombosis	"Venous thrombosis is the blockage of a vein caused by a thrombus (blood clot). A common form of venous thrombosis is deep vein thrombosis (DVT), when a blood clot forms in the deep veins."
http://purl.obolibrary.org/obo/NCIT_C66880	Anticholinergic	Anticholinergics (anticholinergic agents) are substances that block the action of the acetylcholine (ACh) neurotransmitter at synapses in the central and peripheral nervous system.
http://snomed.info/id/193462001	Insomnia	Insomnia is a common sleep disorder that can make it hard to fall asleep or stay asleep.
http://purl.obolibrary.org/obo/OMIT_0003220	Bone Resorption	Process by which osteoclasts break down the tissue in bones and release calcium from bone tissue to the blood.
http://purl.obolibrary.org/obo/XCO_0001265	Stress	"Stress, whether physiological, biological or psychological, is an organism's response to a stressor such as an environmental condition. Stress is the body's method of reacting to a condition such as a threat, challenge or physical and psychological barrier."
http://snomed.info/id/240138000	Cartilage Defect	A focal area of damaged cartilage at an articular surface (the surface where bones meet).
http://purl.obolibrary.org/obo/NCIT_C17604	Food Preparation	"Making food ready for consumption including thawing, cooking, heating, cooling, cutting, assembling, and portioning."
http://snomed.info/id/372509005	Tamsulosin	A medication (alpha-1 blocker) used to treat BPH. Off label use treatment for kidney stone expulsion.
http://purl.obolibrary.org/obo/ENVO_01001023	Radiation	Radiation is the emission or transmission of energy in the form of waves or particles through space or a material medium.
http://purl.obolibrary.org/obo/OBA_0003442	Skeletal Fragility 	Bone fragility is due to the low bone mass and microarchitectural deterioration of bone tissue in osteoporotic patients.
http://purl.obolibrary.org/obo/NBO_0000356	Body Posture	The position the body or body segments such as extremities relative to each other and to accelerations or forces experienced within a vehicle or suit.
http://purl.obolibrary.org/obo/SYMP_0000061	Inflammation	"Inflammation is a process by which your body's white blood cells and the things they make protect you from infection from outside invaders, such as bacteria and viruses."
http://snomed.info/id/226355009	Nutrients	"A nutrient is a substance used by an organism to survive, grow, and reproduce."
http://purl.obolibrary.org/obo/NCIT_C17741	Oxidative Stress	Oxidative stress is a phenomenon caused by an imbalance between production and accumulation of oxygen reactive species (ROS) in cells and tissues and the ability of a biological system to detoxify these reactive products.
http://purl.org/utmb/ndkg.owl#KGN_0000300	Diagnostic Capability	"The sensors, data, tools, expertise, etc. that are available to identify any specific medical condition occurring in-mission"
http://purl.org/utmb/ndkg.owl#KGN_0000420	Sensorimotor (Risk)	Risk of Altered Sensorimotor/Vestibular Function Impacting Critical Mission Tasks.
http://purl.obolibrary.org/obo/NCIT_C53954	Bone Formation	Process by which osteoblasts produce new mineralized bone tissue.
http://purl.org/utmb/ndkg.owl#KGN_0000414	Resupply	"The ability to restock consumables (i.e., medications, medical supplies, food, water, spare parts, etc.)."
http://purl.org/utmb/ndkg.owl#KGN_0000413	Resource Availability	"Availability of necessary items needed for prevention, detection, and treatment of anomalies in the human and the vehicle."
http://purl.org/utmb/ndkg.owl#KGN_0000411	Radiation Monitors	Device that allows for the determination of the amount of radiation within a spacecraft or for a particular person.
http://purl.org/utmb/ndkg.owl#KGN_0000418	Seals/Gaskets	Potentially vulnerable portions of a suit system from a dust perspective.
http://purl.org/utmb/ndkg.owl#KGN_0000417	Scheduling	"Arranging, controlling, and optimizing work and workloads to facilitate crew timeline of activities."
http://purl.org/utmb/ndkg.owl#KGN_0000416	Schedule Shifting	Shifting sleep-wake timing to accommodate mission events.
http://purl.org/utmb/ndkg.owl#KGN_0000415	Retinal Nerve Fiber Layer Atrophy	Retinal nerve fiber layer atrophy is associated with visual field loss over time in glaucoma suspect and glaucomatous eyes.
http://purl.obolibrary.org/obo/OCCO_00000098	Spatial Orientation	"The accuracy of perceived body position with respect to a gravity-inertial vector and/or external surroundings (e.g., spacecraft)."
http://edamontology.org/topic_3444	MRI	"Magnetic Resonance Imaging (MRI), a diagnostic test that measures the response of atomic nuclei in body tissue (hydrogen nuclei of water) to radio waves in a strong magnetic field."
http://purl.obolibrary.org/obo/NCIT_C50790	Urinary Retention	A condition in which all the urine from the bladder cannot be emptied.
http://purl.org/utmb/ndkg.owl#KGN_0000410	Radiation Carcinogenesis (Risk)	Risk of Radiation Carcinogenesis.
http://purl.org/utmb/ndkg.owl#KGN_0000403	Prior Mission Exposures	Space flight exposures obtained during a previous mission for a particular astronaut.
http://purl.org/utmb/ndkg.owl#KGN_0000402	Previous Injury	Damage or trauma to the body that occurred at any time in the past.
http://purl.org/utmb/ndkg.owl#KGN_0000401	Preventive Source Control	"Measures taken to reduce, eliminate or prevent microbial spread."
http://purl.org/utmb/ndkg.owl#KGN_0000400	Pressure Suits	Suits with pressure significantly lower than the ambient cabin pressure of a spacecraft.
http://purl.org/utmb/ndkg.owl#KGN_0000407	Protective Equipment	A set of components used to mitigate or control effects of hazards prior to occurrence.
http://purl.obolibrary.org/obo/NCIT_C39774	Aerobic Exercise	"Aerobic exercise is a physical activity that uses your body’s large muscle groups, is rhythmic and repetitive. It increases your heart rate and how much oxygen your body uses. Examples of aerobic exercises include walking, cycling and swimming. It reduces your risk of heart disease, diabetes, high blood pressure and high cholesterol."
http://purl.org/utmb/ndkg.owl#KGN_0000406	Proprioception Change	Alterations in the internal sense of body movement and location.
http://purl.org/utmb/ndkg.owl#KGN_0000405	Private Astronaut Missions	Space flight missions not managed by NASA or other government space agencies but instead by private organizations.
http://purl.org/utmb/ndkg.owl#KGN_0000404	Privacy/Team Space	"Privacy: Having an acceptable level of control over the extent of sharing oneself (physically, behaviorally, or intellectually) with others. (NASA-STD-3001)/ Team Space: shared space that facilitates social interactions and teamwork."
http://purl.org/utmb/ndkg.owl#KGN_0000409	Protective Windows and Filters	"Scratch panes, shades, or filters designed into spacecraft windows systems that provide protection from sunlight and laser exposures."
http://snomed.info/id/38126007	Protective Glasses	"Specialized glasses providing eye protection from environmental exposures including foreign object debris, sunlight, laser, and some particle/chemical releases."
http://snomed.info/id/91302008	Sepsis	"Sepsis is a serious condition in which the body responds improperly to an infection. The infection-fighting processes turn on the body, causing the organs to work poorly."
http://purl.obolibrary.org/obo/MAXO_0035015	Visual Acuity Test	"A primary vision test which measures the visual system's ability to discern targets (e.g., letters) at a given distance (e.g., 20 feet) from the patient."
http://snomed.info/id/226354008	Water Intake	"Water intake encompasses the total fluid intake consumed from foods, plain drinking water, and other beverages."
http://purl.obolibrary.org/obo/NCIT_C18982	Charged Particles	"An atomic particle that has an electric charge, either positive or negative."
http://purl.obolibrary.org/obo/NCIT_C16567	Exercise	Any bodily activity that enhances or maintains physical fitness and overall health and wellness.
http://purl.obolibrary.org/obo/NCIT_C20828	Optical Coherence Tomography	"Non-invasive ophthalmic imaging technology that provides high-resolution, cross-sectional views of ocular anatomy (e.g., retina, cornea), as well as images that mimic color retinal photography."
http://purl.obolibrary.org/obo/OMIT_0003169	Blood Viscosity	A measure of the resistance to blood flow.
http://purl.obolibrary.org/obo/NCIT_C1505	Supplements	A supplement is something added to something else. Nutritional supplements add vitamins and minerals to the ones already included in the food you eat.
http://purl.obolibrary.org/obo/OMIT_0018665	Altered Gravity	Gravity environment that is less than Earth-normal (1g)
http://snomed.info/id/271594007	Presyncope/Syncope	The most uniform definition is “feeling like one was going to pass out but without actual loss of consciousness.” Near syncope can last for seconds to minutes.
http://purl.obolibrary.org/obo/NCIT_C156703	Fine Motor Control	"The coordination and dexterity of muscles, bones, and nerves required to produce precise movements."
http://purl.obolibrary.org/obo/OMIT_0016250	Bone Density	Mineral content within a projected image of bone (area) or a spatial volume of bone.
http://snomed.info/id/212968006	Starvation	"Starvation is a severe deficiency in caloric energy intake, below the level needed to maintain an organism's life. It is the most extreme form of malnutrition."
http://edamontology.org/topic_3365	Data Architecture	"The models, policies, rules, and standards that govern which data is collected and how it is stored, arranged, integrated, and used in data systems."
http://purl.obolibrary.org/obo/NCIT_C69192	Psychological Status	"A psychological state is a person's state of mind which comprises a diverse class, including pain experience, perception, desire, belief, intention, emotion, and memory."
http://purl.obolibrary.org/obo/NCBITaxon_6754	Cancer	"Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. These contrast with benign tumors, which do not spread."
http://purl.org/utmb/ndkg.owl#NDKG_0000002	_NDKG_Classes	
http://purl.obolibrary.org/obo/NCIT_C20050	Pharmacogenomics	"Pharmacogenomics is the study of how genes affect a person’s response to drugs. This field combines pharmacology (the science of drugs) and genomics (the study of genes and their functions) to develop effective, safe medications that can be prescribed based on a person’s genetic makeup."
http://purl.obolibrary.org/obo/NCIT_C94401	Blood Stagnation	A decrease in blood flow velocity or net movement of blood through a vessel.
http://purl.org/utmb/ndkg.owl#KGN_0000362	Materials Offgassing	Volatile compounds that are produced and released into the air over time and as a function of temperature from soft goods like plastics.
http://purl.org/utmb/ndkg.owl#KGN_0000240	Burn Treatment Capability	Medical management and care of a burn.
http://purl.org/utmb/ndkg.owl#KGN_0000361	Manufacturer Shelf Life	"A period that a drug manufacturer guarantees product quality, from date of manufacture until the labeled expiration date."
http://purl.org/utmb/ndkg.owl#KGN_0000360	Lower Body Negative Pressure	A device/chamber covering the lower body that is sealed at the waist which through decompression intended to cause fluid shifts to the lower body.
http://purl.org/utmb/ndkg.owl#KGN_0000245	Cancer Treatment	"Use of surgery, radiation therapy, medications, and/or other therapies to cure a cancer, shrink a tumor, or reduce tumor burden."
http://purl.org/utmb/ndkg.owl#KGN_0000366	Medical Diagnostic Capability	The in-mission capability to correctly detect and identify the cause of medical issues in space flight.
http://purl.obolibrary.org/obo/OMIT_0013831	Social Support	"Collective structure (perceived or real) for help or aid from a mixture of relationships such as friends, family, colleagues, acquaintances, and the public; perceived social support is when individuals believe they have support available."
http://purl.org/utmb/ndkg.owl#KGN_0000365	Mechanical Systems	"Sub-components including pumps, seals/gaskets, valves, and mechanical parts that contribute to the Environmental Control and Life Support Systems for vehicles and suits."
http://purl.org/utmb/ndkg.owl#KGN_0000001	Isolation & Confinement	Behavioral responses occur among groups of people far from Earth who are isolated and confined in a small space over a long period of time.
http://purl.org/utmb/ndkg.owl#KGN_0000364	Mechanical Obstruction	A partial or total blockage of the bladder out flow tract caused by an object.
http://purl.org/utmb/ndkg.owl#KGN_0000242	Cabin Visibility	Ability of the crew to see within the habitable volume.
http://purl.org/utmb/ndkg.owl#KGN_0000363	Measurable Hearing Shift	A change in auditory thresholds that is greater than normal test re-test variability.
http://purl.org/utmb/ndkg.owl#KGN_0000238	Brain Structural Changes	Anatomical alterations to the brain.
http://purl.org/utmb/ndkg.owl#KGN_0000359	Loss of Vehicle	"The vehicle is rendered unusable during a mission, requiring evacuation of crew."
http://purl.org/utmb/ndkg.owl#KGN_0000116	Hygiene 	"Hygiene is a set of practices performed to preserve health. According to the World Health Organization (WHO), ""Hygiene refers to conditions and practices that help to maintain health and prevent the spread of diseases."
http://purl.org/utmb/ndkg.owl#KGN_0000237	Bone Structure	Spatial distribution of bone tissue (minerals and collagen matrix) in a 3D volume of whole bone.
http://purl.org/utmb/ndkg.owl#KGN_0000358	Loss of Mission Objectives	"Some mission objectives are lost, and other mission objectives can still be achieved."
http://purl.org/utmb/ndkg.owl#KGN_0000115	Hydration	The action of providing liquid to bodily tissues to compensate for fluid lost from the body.
http://purl.org/utmb/ndkg.owl#KGN_0000357	Loss of Mission	Evacuation/abort prior to mission objectives being accomplished.
http://purl.org/utmb/ndkg.owl#KGN_0000356	Loss of EVA Content	Loss of one or more planned objective during extravehicular activities during a mission.
http://purl.org/utmb/ndkg.owl#KGN_0000119	Intracranial Pressure Monitoring	The act of measuring pressure exerted by fluids such as cerebrospinal fluid (CSF) inside the skull and on the brain tissue.
http://purl.org/utmb/ndkg.owl#KGN_0000118	Intracochlear Pressure	An increase in the static pressure of cochlear fluids.
http://purl.org/utmb/ndkg.owl#KGN_0000239	Breathing Mask	"A breathing mask is a mask that covers the mouth, nose, and optionally other parts of the face or head, designed to constrain and direct the wearer's breath to and/or from a particular breathing apparatus."
http://purl.obolibrary.org/obo/GSSO_000924	Cognitive Function	Any mental process that involves symbolic operations. Cognitive function encompasses awareness and capacity for judgment.
http://snomed.info/id/417746004	Traumatic Injury	"Traumatic injury is a term which refers to physical injuries of sudden onset and severity which require immediate medical attention. The insult may cause systemic shock called “shock trauma”, and may require immediate resuscitation and interventions to save life and limb."
http://purl.org/utmb/ndkg.owl#KGN_0000351	Long Term Health Outcomes	Risk Impact Category indicating the lifetime impact of space flight on physical and mental health and performance of astronaut’s post flight including postcareer.
http://purl.org/utmb/ndkg.owl#KGN_0000350	Landing Site Environment	The state of the surroundings where a vehicle will land. Includes climate and accessibility by ground support.
http://purl.obolibrary.org/obo/NCIT_C3293	Osteoarthritis	A degenerative disease that occurs when the protective cartilage that cushions the ends of the bones wears down over time often resulting in chronic joint pain.
http://purl.org/utmb/ndkg.owl#KGN_0000113	Plasma Induced Shock	"The generation of plasma in a very intense electrical field and the subsequent tissue removal due to shock wave propagation, cavitation and jet formation."
http://purl.org/utmb/ndkg.owl#KGN_0000355	Loss of Crew Life	Loss of (a single) crewmember life during the mission.
http://purl.org/utmb/ndkg.owl#KGN_0000476	Interpersonal Relationships	"Emotional, psychosocial relationships between two individuals."
http://purl.org/utmb/ndkg.owl#KGN_0000112	Electrical Shock	"Electrical shock, the perceptible and physical effect of an electrical current that enters the body."
http://purl.org/utmb/ndkg.owl#KGN_0000354	Loss of Crew	Loss of (the whole) crew during the mission.
http://purl.org/utmb/ndkg.owl#KGN_0000475	Family Effects	"Perceived connectedness with family, stress associated with family relationships or with family situations that are influencing family members' well-being"
http://purl.org/utmb/ndkg.owl#KGN_0000474	Artificial Gravity	"The creation of an inertial force that mimics the effects of a gravitational force, usually by rotation"
http://purl.org/utmb/ndkg.owl#KGN_0000110	Ototoxins	"Ototoxicity refers to damage to the hearing and / or balance organs that occurs after exposure to medications or chemicals that affect the inner ear. Ototoxic medications can damage hearing, balance, or both."
http://purl.org/utmb/ndkg.owl#KGN_0000352	Long Term Health Clinical Decisions	Any clinical decisions occurring post-flight or post career that are based on prior space flight exposure data and/or clinical testing data.
http://purl.org/utmb/ndkg.owl#KGN_0000473	Intracranial Pressure Changes	Changes from an individual’s nominal baseline intracranial pressure
http://purl.org/utmb/ndkg.owl#KGN_0000348	K+ Citrate	"Potassium citrate, a medication which modifies urine chemistry (making urine less acidic)."
http://purl.org/utmb/ndkg.owl#KGN_0000469	Environmental Risk	Risks with potentially harmful factors originating from external conditions or surrounding
http://purl.org/utmb/ndkg.owl#KGN_0000226	BHP Family Services	Behavioral health and performance (BHP) support including counseling for astronauts and their families; launch and landing support; and in-mission psychological support.
http://purl.org/utmb/ndkg.owl#KGN_0000347	Intervention Source Control	"Control measures at the site of origin, such as debridement, drainage and/or excision, used to control ongoing infection."
http://purl.org/utmb/ndkg.owl#KGN_0000468	Nutrient Deficiencies	Nutrient deficiencies occur when the body is not getting enough nutrients to support normal physiological system function.
http://purl.org/utmb/ndkg.owl#KGN_0000225	BHP Countermeasures	"Behavioral health and performance (BHP) actions, procedures, equipment, standards, or requirements."
http://purl.org/utmb/ndkg.owl#KGN_0000346	Intervention Measures	Decisions made or actions taken to mitigate specific health and performance risks.
http://purl.org/utmb/ndkg.owl#KGN_0000467	Food Storage Conditions	"Food storage can be divided into three types, dry, refrigerated, and frozen."
http://purl.org/utmb/ndkg.owl#KGN_0000103	Renal Stone (Risk)	"Kidney stones (also called renal calculi, nephrolithiasis or urolithiasis) are hard deposits made of minerals and salts that form inside your kidneys."
http://purl.org/utmb/ndkg.owl#KGN_0000224	Balance Training	Balance training can be defined as a training aimed at improving postural control. Balance training can be used in different age and patient groups to enhance balance ability.
http://purl.org/utmb/ndkg.owl#KGN_0000345	Intervention Decision	The selection of action(s) taken in response to an anomalous event to correct the causes and/or mitigate the consequences.
http://purl.org/utmb/ndkg.owl#KGN_0000466	EVA Decision Support	"Ability of the system (human or computer) to support determinations, judgments, and courses of action before and during an extravehicular activity to reduce cognitive workload"
http://snomed.info/id/282752000	Eye Injury	"Injury (environmental or traumatic) that occurs to the eyeball, eyelids, or orbital area."
http://purl.org/utmb/ndkg.owl#KGN_0000109	Lenses	"Optical devices that neutralize the refractive error of the eye, thereby focusing images onto the retina."
http://purl.org/utmb/ndkg.owl#KGN_0000228	Biomedical Exposures	Pre-flight research and medical tests utilizing ionizing radiation.
http://purl.org/utmb/ndkg.owl#KGN_0000349	Lab Blood Monitoring	Lab blood monitoring enables the capability to detect immune changes during space flight that are either subclinical or become clinically significant.
http://purl.obolibrary.org/obo/RBO_00015043	Solar Particle Event	Phenomenon which occurs when particles from the Sun are accelerated and transiently alter the local radiation environment.
http://purl.org/utmb/ndkg.owl#KGN_0000380	Non-Modifiable Individual Factors	"Factors that influence the biologic variability among individual crewmembers that affect risk. Nonmodifiable factors include age, sex, genetic predispositions, pre-existing medical conditions, etc. These can be further decomposed depending on risk needs."
http://purl.org/utmb/ndkg.owl#KGN_0000021	BHP Intervention Capability	Behavioral health and performance (BHP) countermeasures used in mission.
http://purl.org/utmb/ndkg.owl#KGN_0000142	Microhost (Risk)	Risk of Adverse Health Effects Due to HostMicroorganism Interactions.
http://purl.org/utmb/ndkg.owl#KGN_0000020	BHP Monitoring Capability	"Behavioral health and performance (BHP) ability to watch, observe, and track astronaut behavioral health, cognitive and emotional performance to implement interventions as needed."
http://purl.org/utmb/ndkg.owl#KGN_0000383	Operations Design	"Planning and execution of an activity, mission, or maneuver. (NASA-STD-3001)"
http://purl.org/utmb/ndkg.owl#KGN_0000140	Maintainability	A measure of the ease and rapidity with which a system or equipment can be preserved against failure or restored to operational status.
http://purl.org/utmb/ndkg.owl#KGN_0000261	Cochlear Changes	"Permanent or temporary alterations to the structure or function of the inner ear (cochlea), usually for the worse."
http://purl.org/utmb/ndkg.owl#KGN_0000260	Coagulability	"A measure of the capability to form a blood clot, modified by specific factors and biochemical pathways."
http://purl.org/utmb/ndkg.owl#KGN_0000381	Nuclear Technology	Technology that involves nuclear reactions of atomic nuclei.
http://snomed.info/id/423341008	Optic disc edema	Optic disc edema is swelling of intraocular portion of the optic nerve.
http://purl.org/utmb/ndkg.owl#KGN_0000025	Ground Support	"An event or interaction that results in the vehicle system not functioning nominally or safely, with the potential for downstream consequences."
http://purl.org/utmb/ndkg.owl#KGN_0000267	Crew Size	"The total number of astronauts on a mission team that have been trained to monitor, operate, and control parts of, or the whole space system in the vehicle/habitat."
http://purl.org/utmb/ndkg.owl#KGN_0000024	Communication Factors	"Circumstances that effect the communication systems which include information provided to and from the crew by way of voice, text, video, and/or telemetry (NASA-STD-3001); this includes constraints on communication between a crew and ground support personnel."
http://purl.org/utmb/ndkg.owl#KGN_0000145	SANS (Risk)	Risk of Space flight Associated Neuro-ocular Syndrome.
http://purl.org/utmb/ndkg.owl#KGN_0000266	Crew Metabolism	Total amount of the biochemical reactions involved in maintaining the living condition of the cells of the crew.
http://purl.org/utmb/ndkg.owl#KGN_0000387	Payload Chemicals	Chemicals that are used in experimental payloads.
http://purl.obolibrary.org/obo/NCIT_C15720	Pharmacodynamics	"Pharmacodynamics is the study of a drug's molecular, biochemical, and physiologic effects or actions."
http://purl.org/utmb/ndkg.owl#KGN_0000265	Compartment Isolation	Use of a small room/airlock to modify the environment in preparation for upcoming tasks.
http://purl.org/utmb/ndkg.owl#KGN_0000386	Other Risks	Nodes in a directed acyclic graph which only identify a connection at the risk level and do not carry information about what specific connections exist in detail.
http://purl.org/utmb/ndkg.owl#KGN_0000143	Monitoring Capability	"The ability periodically or continuously observe, record, and systematically review the status of vehicle, habitat, spacesuit or human systems."
http://purl.org/utmb/ndkg.owl#KGN_0000264	Communication Delay	Time delay between when a communication is sent to when the communication is received.
http://purl.org/utmb/ndkg.owl#KGN_0000138	HSI Processes	"Human System Integration (HSI) - An interdisciplinary and comprehensive management and engineering methodology that focuses on the integration of humans and cyber-physical systems during systems design and development or acquisition, to enable overall systems resilience."
http://purl.org/utmb/ndkg.owl#KGN_0000259	CO2 Removal	Elimination of CO2.
http://purl.org/utmb/ndkg.owl#KGN_0000016	Crew Health & Performance System	"The Human Health and Performance Directorate (HH&P)  is the primary organization focused on enhancing crew health and performance and mitigating the risks associated with human spaceflight. With three offices, three divisions and over 900 employees, all HH&P functions are ultimately aimed at achieving our mission: optimizing human health and performance throughout all phases of spaceflight."
http://purl.org/utmb/ndkg.owl#KGN_0000137	Food Variety	"Foods with diverse characteristics including foods from the entire range of food groups (vegetables, fruits, grains, meat, fish, and dairy products)."
http://purl.org/utmb/ndkg.owl#KGN_0000258	CO2 Production	Generation and release of CO2.
http://purl.org/utmb/ndkg.owl#KGN_0000379	Muscle Physiologic changes	"Adaptations in muscle including muscle size, strength, metabolism, and hormonal and neural interactions, in response to the loading environment (e.g., altered gravity, exercise/work) that affect performance."
http://purl.org/utmb/ndkg.owl#KGN_0000015	Vehicle Design	Agencies must establish and document a structured vehicle allocation methodology to determine the appropriate size and number of motor vehicles.
http://purl.org/utmb/ndkg.owl#KGN_0000136	Food System	The interconnected network of activities and resources involved in providing nutrients for human nourishment and sustaining life.
http://purl.org/utmb/ndkg.owl#KGN_0000257	CO2 Physiological Changes	"Measurable variances in cellular, tissue, organ, or body function that are caused by CO2 concentrations."
http://purl.org/utmb/ndkg.owl#KGN_0000378	Multi-Sensory Integration Alterations	"Changes to the internal weighting of the individual's information-gathering abilities to see, hear, touch, smell, and taste (sensory signals) that are integrated by the central nervous system to produce the perception of the physical environment and one’s relation to it."
http://purl.org/utmb/ndkg.owl#KGN_0000019	BHP Prevention Capability	Behavioral health and performance (BHP) support to prevent decline of astronaut behavioral health and cognitive performance; used in all mission phases.
http://purl.org/utmb/ndkg.owl#312	Electrical Muscle Effects	The response of muscle tissue to electrical current.
http://purl.obolibrary.org/obo/OMIT_0002842	Barotrauma	"Barotrauma is physical tissue damage caused by a pressure difference between an unvented space inside the body and surrounding gas or fluid. The damage is due to shear or overstretching of tissues. As a gas-filled space expands or contracts, it can cause damage to the local tissue."
http://edamontology.org/topic_4013	Antimicrobial Resistance	"Antimicrobial Resistance (AMR) occurs when bacteria, viruses, fungi and parasites no longer respond to antimicrobial medicines. As a result of drug resistance, antibiotics and other antimicrobial medicines become ineffective and infections become difficult or impossible to treat, increasing the risk of disease spread, severe illness, disability and death."
http://purl.org/utmb/ndkg.owl#KGN_0000010	World/Family Events	"Worrying about family and family events that might occur at home while the crew member is away can be stressful. In addition to family events, world events viewed from space, can be stressful."
http://purl.org/utmb/ndkg.owl#KGN_0000131	Food Acceptability	A subjective measurement evaluating the hedonics associated with food.
http://purl.org/utmb/ndkg.owl#KGN_0000252	Charged Surface	Surface with non-zero electric charge which exhibits electrostatic attraction or repulsion in the presence of other matter with charge.
http://purl.org/utmb/ndkg.owl#KGN_0000373	Mission Level Outcomes	Set outcomes defined in the HSRB Risk Management Plan.
http://purl.org/utmb/ndkg.owl#KGN_0000372	Mission Architecture Complexity	"A measure of the number, diversity, and intricacy of mission systems and operations (e.g., surface versus orbital), and their interactions, both pre-mission and during mission operations."
http://snomed.info/id/302968001	Arterial Gas Embolism	"An arterial embolism is caused by one or more emboli getting stuck in an artery and blocking blood flow, causing ischemia, possibly resulting in infarction with tissue death (necrosis)."
http://purl.org/utmb/ndkg.owl#KGN_0000371	Mild Hypoxia	Oxygen is not available in sufficient amounts at the tissue level.
http://purl.obolibrary.org/obo/ENVO_02500041	Environmental Monitoring Capability	"Ability to test, log, and review the parameters that describe the environment in which the crew lives and operates to ensure they do not exceed specified limits."
http://purl.org/utmb/ndkg.owl#KGN_0000370	Microbial Virulence Factors	Evidence that the virulence of certain microbes changes in response to space flight environment.
http://purl.org/utmb/ndkg.owl#KGN_0000256	Clinical Significant Immune Dysregulation	"Refers to altered immune cellular function, inflammation, etc., reached a level which creates demonstrable / measurable / prognostic indication for impending disease."
http://purl.org/utmb/ndkg.owl#KGN_0000013	Individual Factors	"Individual factors have been variously defined as non-work, demographic, physiological or psychological factors. They may represent a variety of important constructs at different relevant levels that may not be initially evident in their measurement."
http://purl.org/utmb/ndkg.owl#KGN_0000376	Morphological G-Receptor Changes	"Changes to the end organ, including neuronal sensitivity changes, otoconial mass changes, cilia changes, etc."
http://purl.org/utmb/ndkg.owl#KGN_0000012	Crew Composition	"The contractor is required to maintain a minimum 4:1 crew ratio (four qualified flight deck crews per aircraft), exclusive of those with Reserve or National Guard commitments, and material to enable at least 10 hours per day utilization of each aircraft. During CRAF activation, flight deck crewmembers must be US citizens eligible for a SECRET clearance. Within 15-days after requested by the CO, the contractor shall submit a list of names of the eligible crewmembers to HQ AMC/A34BC. Indigenous personnel may be used to fulfill other personnel requirements in accordance with company policy."
http://purl.org/utmb/ndkg.owl#KGN_0000254	Circadian Misalignment	"Desynchronization between the timing of the master circadian pacemaker in the suprachiasmatic nucleus (SCN) of the hypothalamus and sleep wake timing or desynchronization between the SCN and peripheral oscillators, such as those in the gut, liver, and reproductive organs."
http://purl.org/utmb/ndkg.owl#KGN_0000375	Modifiable Individual Factors	Factors that influence the biologic variability among individual crewmembers that affect risk.
http://purl.org/utmb/ndkg.owl#KGN_0000011	Social Dynamics	"Social dynamics (or sociodynamics) is the study of the behavior of groups and of the interactions of individual group members, aiming to understand the emergence of complex social behaviors among microorganisms, plants and animals, including humans."
http://purl.org/utmb/ndkg.owl#KGN_0000253	Chorioretinal Folds	"Undulations of the choroid, Bruch’s membrane (BM),retinal pigment epithelium (RPE), and the overlying retina. Can be subdivided into choroidal folds, retinal folds, and peripapillary wrinkles."
http://purl.org/utmb/ndkg.owl#KGN_0000374	Mitigation Options	All possible actions that could be taken in response to the anomalous event to reduce the risk of adverse outcomes.
http://purl.org/utmb/ndkg.owl#KGN_0000007	Crew Capability	"Capability and ability to preclude crew/passenger fatality or permanent disability. The ability to keep the crew/passengers alive using such capabilities as abort, escape, safe haven, emergency egress, rescue and emergency medical, in response to an imminent catastrophic condition."
http://purl.org/utmb/ndkg.owl#KGN_0000006	Individual Readiness	
http://purl.org/utmb/ndkg.owl#KGN_0000127	Anomalous Events	"Occurrences that are inconsistent with or deviating from what is usual, normal, or expected."
http://purl.org/utmb/ndkg.owl#KGN_0000369	Microbial Resistance Factors	Description of the main drivers of antimicrobial resistance in space flight.
http://purl.org/utmb/ndkg.owl#KGN_0000247	Cardiac Structure/Function	The anatomy and physiology of the heart and coronary vessels.
http://purl.org/utmb/ndkg.owl#KGN_0000004	Distance from Earth	
http://purl.org/utmb/ndkg.owl#KGN_0000367	Medication Compatibility	"A medication's harmonious coexistence with its storage environment, administration (e.g., delivery and simultaneous administration with other medications) that promotes safe and effective use without the incidence of negative physiological consequences or chemical interactions; Specific to suit - The ability of a medication to be used safely in the suit without negatively impacting the suit environment or components."
http://purl.obolibrary.org/obo/MAXO_0035004	Fundoscopy	"An exam that uses a magnifying lens and a light to check the fundus of the eye (back of the inside of the eye, including the retina and optic nerve). The pupils may be dilated (enlarged) with medicated eye drops so the doctor can see through the pupil to the back of the eye. Fundoscopy may be used to check for eye problems, such as glaucoma, macular degeneration, eye cancer, optic nerve problems, or eye injury."
http://purl.org/utmb/ndkg.owl#KGN_0000009	Team (Risk)	"Team risks are uncertain events or conditions that may have a positive or negative impact on your team's work, communication, collaboration, or motivation."
http://purl.org/utmb/ndkg.owl#KGN_0000008	Task Performance	"The physical and mental activity required of the crew and other participants to accomplish mission goals. This includes the interaction with equipment, computers, procedures, training material, the environment, and other humans."
http://purl.obolibrary.org/obo/NCIT_C99062	Skin Injury	
http://snomed.info/id/40454005	Resistive Exercise	Dynamic exercises involving concentric (shortening) and eccentric (lengthening) muscle actions that recruit a muscle in isolation or multiple muscle groups.
http://purl.allotrope.org/ontologies/process#AFP_0000161	Cleaning	"Physical removal of dust, microbes, marks, or other impurities, from the habitat/suit by washing, wiping, or disinfecting."
